Time [s],Packet ID,MOSI,MISO
0.000512000000000,0,0xFF,
0.006893000000000,0,0xFF,
0.013280000000000,0,0xFF,
0.019693000000000,0,0xFF,
0.026077000000000,0,0xFF,
0.032469000000000,0,0xFF,
0.038866000000000,0,0xFF,
0.045267000000000,0,0xFF,
0.051662000000000,0,0xFF,
0.058055000000000,0,0xFF,
0.064456000000000,0,0xFF,
0.070847000000000,0,0xFF,
0.077244000000000,0,0xFF,
0.083648000000000,0,0xFF,
0.090041000000000,0,0xFF,
0.096433000000000,0,0xFF,
0.102830000000000,0,0xFF,
0.109230000000000,0,0xFF,
0.115622000000000,0,0xFF,
0.122018000000000,0,0xFF,
0.128420000000000,0,0xFF,
0.134811000000000,0,0xFF,
0.141208000000000,0,0xFF,
0.147609000000000,0,0xFF,
0.154014000000000,0,0xFF,
0.160397000000000,0,0xFF,
0.166798000000000,0,0xFF,
0.173196000000000,0,0xFF,
0.179586000000000,0,0xFF,
0.185988000000000,0,0xFF,
0.192378000000000,0,0xFF,
0.198775000000000,0,0xFF,
0.205177000000000,0,0xFF,
0.211566000000000,0,0xFF,
0.217964000000000,0,0xFF,
0.224366000000000,0,0xFF,
0.230785000000000,0,0xFF,
0.237153000000000,0,0xFF,
0.243549000000000,0,0xFF,
0.249951000000000,0,0xFF,
0.256342000000000,0,0xFF,
0.262739000000000,0,0xFF,
0.269140000000000,0,0xFF,
0.275531000000000,0,0xFF,
0.281927000000000,0,0xFF,
0.288329000000000,0,0xFF,
0.294720000000000,0,0xFF,
0.301116000000000,0,0xFF,
0.307518000000000,0,0xFF,
0.313909000000000,0,0xFF,
0.320306000000000,0,0xFF,
0.326708000000000,0,0xFF,
0.333098000000000,0,0xFF,
0.339505000000000,0,0xFF,
0.345897000000000,0,0xFF,
0.352287000000000,0,0xFF,
0.358684000000000,0,0xFF,
0.365086000000000,0,0xFF,
0.371475000000000,0,0xFF,
0.377873000000000,0,0xFF,
0.384275000000000,0,0xFF,
0.390671000000000,0,0xFF,
0.397062000000000,0,0xFF,
0.403458000000000,0,0xFF,
0.409860000000000,0,0xFF,
0.416251000000000,0,0xFF,
0.422648000000000,0,0xFF,
0.429050000000000,0,0xFF,
0.435440000000000,0,0xFF,
0.441836000000000,0,0xFF,
0.448238000000000,0,0xFF,
0.454629000000000,0,0xFF,
0.461025000000000,0,0xFF,
0.467432000000000,0,0xFF,
0.473818000000000,0,0xFF,
0.480215000000000,0,0xFF,
0.486617000000000,0,0xFF,
0.493011000000000,0,0xFF,
0.499404000000000,0,0xFF,
0.505806000000000,0,0xFF,
0.512196000000000,0,0xFF,
0.518593000000000,0,0xFF,
0.524995000000000,0,0xFF,
0.531385000000000,0,0xFF,
0.537782000000000,0,0xFF,
0.544184000000000,0,0xFF,
0.550581000000000,0,0xFF,
0.556971000000000,0,0xFF,
0.563367000000000,0,0xFF,
0.569769000000000,0,0xFF,
0.576160000000000,0,0xFF,
0.582557000000000,0,0xFF,
0.588958000000000,0,0xFF,
0.595349000000000,0,0xFF,
0.601745000000000,0,0xFF,
0.608148000000000,0,0xFF,
0.614538000000000,0,0xFF,
0.620934000000000,0,0xFF,
0.627343000000000,0,0xFF,
0.633727000000000,0,0xFF,
0.640123000000000,0,0xFF,
0.646526000000000,0,0xFF,
0.652930000000000,0,0xFF,
0.659313000000000,0,0xFF,
0.665715000000000,0,0xFF,
0.672105000000000,0,0xFF,
0.678503000000000,0,0xFF,
0.684904000000000,0,0xFF,
0.691311000000000,0,0xFF,
0.697691000000000,0,0xFF,
0.704092000000000,0,0xFF,
0.710489000000000,0,0xFF,
0.716880000000000,0,0xFF,
0.723276000000000,0,0xFF,
0.729678000000000,0,0xFF,
0.736069000000000,0,0xFF,
0.742465000000000,0,0xFF,
0.748868000000000,0,0xFF,
